"8067046"|"004-215450-1"|"24-01-23"|"Sale"|"169821"|"LI1873609"|""|"AICHAM"|"-10"|"0"|"-10"|"0"|"No"|"ALJ"|""|"No"|"Customer"|"No"|""|""|""|""|"24-01-23"|""|""|""|"ALJ-LIEFER"|"0"|"Sales Shipment"|"20000"|""|""|"No"|""|""|"1"|"ST"|"No"|""|""|""|"No"|"PP"|"No"|""|"MOORMAN"|""|"Yes"|"24-01-23"|"Yes"|"0"|"-47,5"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"91,2"|"No"|"-10"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"8070233"|"004-215450-1"|"25-01-23"|"Sale"|"140396"|"LI1873892"|""|"AICHAM"|"-5"|"0"|"-5"|"0"|"No"|"NLJ"|""|"No"|"Customer"|"No"|""|""|"AT"|""|"25-01-23"|"1036178363"|""|""|"ALJ-LIEFER"|"0"|"Sales Shipment"|"90000"|""|""|"No"|""|""|"1"|"ST"|"No"|"22596868"|""|""|"No"|"PP"|"No"|""|"MOORMAN"|""|"Yes"|"26-01-23"|"Yes"|"0"|"-23,75"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"33"|"No"|"-5"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"8046262"|"004-215450-2"|"12-01-23"|"Sale"|"116408"|"LI1871181"|""|"AICHAM"|"-2"|"0"|"-2"|"0"|"No"|"ALJ"|""|"No"|"Customer"|"No"|""|""|""|""|"12-01-23"|""|""|""|"ALJ-LIEFER"|"0"|"Sales Shipment"|"50000"|""|""|"No"|""|""|"1"|"ST"|"No"|""|""|""|"No"|"PP"|"No"|""|"MOORMAN"|""|"Yes"|"13-01-23"|"Yes"|"0"|"-9,5"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"20,52"|"No"|"-2"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"8054473"|"004-215450-2"|"17-01-23"|"Sale"|"116408"|"LI1872084"|""|"AICHAM"|"-2"|"0"|"-2"|"0"|"No"|"ALJ"|""|"No"|"Customer"|"No"|""|""|""|""|"17-01-23"|""|""|""|"ALJ-LIEFER"|"0"|"Sales Shipment"|"10000"|""|""|"No"|""|""|"1"|"ST"|"No"|""|""|""|"No"|"PP"|"No"|""|"MOORMAN"|""|"Yes"|"18-01-23"|"Yes"|"0"|"-9,5"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"No"|"-2"|"0"|"0"|""|""|""|""|""|"None"|"180PP"|"No"|""|""
"8067014"|"004-215450-2"|"24-01-23"|"Sale"|"110787"|"LI1873606"|""|"AICHAM"|"-1"|"0"|"-1"|"0"|"No"|"ALJ"|""|"No"|"Customer"|"No"|""|""|""|""|"24-01-23"|""|""|""|"ALJ-LIEFER"|"0"|"Sales Shipment"|"90000"|""|""|"No"|""|""|"1"|"ST"|"No"|""|""|""|"No"|"PP"|"No"|""|"MOORMAN"|""|"Yes"|"25-01-23"|"Yes"|"0"|"-4,75"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"10,26"|"No"|"-1"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"8067693"|"004-215450-2"|"24-01-23"|"Sale"|"116408"|"GS314534"|""|"RUCK"|"2"|"0"|"2"|"0"|"No"|"ALJ"|""|"Yes"|"Customer"|"No"|""|""|""|""|"24-01-23"|""|""|""|"ALJ-GSGB"|"0"|"Sales Credit Memo"|"140000"|""|""|"No"|""|""|"1"|"ST"|"No"|""|""|""|"No"|"PP"|"No"|""|"MOORMAN"|""|"Yes"|"24-01-23"|"Yes"|"0"|"9,5"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"-20,52"|"No"|"0"|"0"|"0"|""|""|""|""|""|"None"|"180PP"|"No"|""|""
"8030577"|"004-21580"|"03-01-23"|"Sale"|"117153"|"LI1869568"|""|"AICHAM"|"-10"|"0"|"-10"|"0"|"No"|"ALJ"|""|"No"|"Customer"|"No"|""|""|""|""|"03-01-23"|""|""|""|"ALJ-LIEFER"|"0"|"Sales Shipment"|"30000"|""|""|"No"|""|""|"1"|"ST"|"No"|""|""|""|"No"|"PP"|"No"|""|"MOORMAN"|""|"Yes"|"04-01-23"|"Yes"|"0"|"-47,5"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"91,2"|"No"|"-10"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"8038620"|"004-21580"|"09-01-23"|"Sale"|"140400"|"LI1870335"|""|"AICHAM"|"-8"|"0"|"-8"|"0"|"No"|"NLJ"|""|"No"|"Customer"|"No"|""|""|"AT"|""|"09-01-23"|"1035974504"|""|""|"ALJ-LIEFER"|"0"|"Sales Shipment"|"40000"|""|""|"No"|""|""|"1"|"ST"|"No"|"22605241"|""|""|"No"|"PP"|"No"|""|"MOORMAN"|""|"Yes"|"10-01-23"|"Yes"|"0"|"-38"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"51,77"|"No"|"-8"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"8046585"|"004-21580"|"12-01-23"|"Sale"|"140402"|"LI1871215"|""|"AICHAM"|"-3"|"0"|"-3"|"0"|"No"|"NLJ"|""|"No"|"Customer"|"No"|""|""|"AT"|""|"12-01-23"|"1036051728"|""|""|"ALJ-LIEFER"|"0"|"Sales Shipment"|"70000"|""|""|"No"|""|""|"1"|"ST"|"No"|"22605241"|""|""|"No"|"PP"|"No"|""|"MOORMAN"|""|"Yes"|"13-01-23"|"Yes"|"0"|"-14,25"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"19,27"|"No"|"-3"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"8052090"|"004-21580"|"16-01-23"|"Sale"|"140386"|"LI1871784"|""|"AICHAM"|"-10"|"0"|"-10"|"0"|"No"|"NLJ"|""|"No"|"Customer"|"No"|""|""|"AT"|""|"16-01-23"|"1036060229"|""|""|"ALJ-LIEFER"|"0"|"Sales Shipment"|"340000"|""|""|"No"|""|""|"1"|"ST"|"No"|"22605241"|""|""|"No"|"PP"|"No"|""|"MOORMAN"|""|"Yes"|"17-01-23"|"Yes"|"0"|"-47,5"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"64,24"|"No"|"-10"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
