"587059"|"008246"|"23-01-23"|"Sale"|"296626"|"305140"|""|"LJ NO"|"-1"|"0"|"-1"|"0"|"No"|""|""|"No"|"Customer"|"No"|""|""|""|""|"23-01-23"|""|""|""|"FÓLGES"|"0"|"Sales Shipment"|"40000"|""|""|"No"|""|""|"1"|"PL."|"No"|""|""|""|"No"|"MATBOARD"|"No"|""|"ARQADIA"|""|"Yes"|"27-01-23"|"No"|"0"|"-23,27"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"72"|"No"|"-1"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"585012"|"008522"|"04-01-23"|"Sale"|"514350"|"304725"|""|"LJ NO"|"-1"|"0"|"-1"|"0"|"No"|""|""|"No"|"Customer"|"No"|""|""|""|""|"04-01-23"|""|""|""|"FÓLGES"|"0"|"Sales Shipment"|"80000"|""|""|"No"|""|""|"1"|"PL."|"No"|""|""|""|"No"|"MATBOARD"|"No"|""|"ARQADIA"|""|"Yes"|"06-01-23"|"No"|"0"|"-50,49"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"141,55"|"No"|"-1"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"587570"|"008522"|"26-01-23"|"Sale"|"512150"|"305254"|""|"LJ NO"|"-1"|"0"|"-1"|"0"|"No"|""|""|"No"|"Customer"|"No"|""|""|""|""|"26-01-23"|""|""|""|"SFAKT+"|"0"|"Sales Shipment"|"10000"|""|""|"No"|""|""|"1"|"PL."|"No"|""|""|""|"No"|"MATBOARD"|"No"|""|"ARQADIA"|""|"Yes"|"26-01-23"|"No"|"0"|"-50,49"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"144,53"|"No"|"-1"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"584957"|"011065"|"03-01-23"|"Sale"|"514090"|"304712"|""|"LJ NO"|"-1"|"0"|"-1"|"0"|"No"|""|""|"No"|"Customer"|"No"|""|""|"NO"|""|"03-01-23"|""|""|""|"FÓLGES"|"0"|"Sales Shipment"|"20000"|""|""|"No"|""|""|"1"|"PL."|"No"|""|""|""|"No"|"MATBOARD"|"No"|""|"ARQADIA"|""|"Yes"|"03-01-23"|"No"|"0"|"-50,64"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"132"|"No"|"-1"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"585864"|"05-009"|"12-01-23"|"Sale"|"476860"|"304893"|""|"LJ NO"|"-1"|"0"|"-1"|"0"|"No"|""|""|"No"|"Customer"|"No"|""|""|"NO"|""|"12-01-23"|""|""|""|"SFAKT+"|"0"|"Sales Shipment"|"40000"|""|""|"No"|""|""|"1"|"PK"|"No"|""|""|""|"No"|"SUPPLIES"|"No"|""|""|""|"Yes"|"12-01-23"|"No"|"0"|"-31,27"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"88"|"No"|"-1"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"587818"|"05-11500"|"30-01-23"|"Sale"|"510720"|"305301"|""|"LJ NO"|"-1"|"0"|"-1"|"0"|"No"|""|""|"No"|"Customer"|"No"|""|""|""|""|"30-01-23"|""|""|""|"FÓLGES"|"0"|"Sales Shipment"|"20000"|""|""|"No"|""|""|"1"|"SETT"|"No"|""|""|""|"No"|"SAMPLES"|"No"|""|"CONFETTI"|""|"Yes"|"30-01-23"|"No"|"0"|"-64,41"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"No"|"-1"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"586465"|"05-54900"|"17-01-23"|"Sale"|"513580"|"305000"|""|"LJ NO"|"-1"|"0"|"-1"|"0"|"No"|""|""|"No"|"Customer"|"No"|""|""|""|""|"17-01-23"|""|""|""|"FÓLGES"|"0"|"Sales Shipment"|"40000"|""|""|"No"|""|""|"1"|"SETT"|"No"|""|""|""|"No"|"SAMPLES"|"No"|""|""|""|"Yes"|"17-01-23"|"No"|"0"|"-103,88"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"No"|"-1"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"586866"|"08-950"|"20-01-23"|"Sale"|"592460"|"305092"|""|"LJ NO"|"-2"|"0"|"-2"|"0"|"No"|""|""|"No"|"Customer"|"No"|""|""|""|""|"20-01-23"|""|""|""|"FÓLGES"|"0"|"Sales Shipment"|"70000"|""|""|"No"|""|""|"1"|"PK"|"No"|""|""|""|"No"|"SUPPLIES"|"No"|""|""|""|"Yes"|"20-01-23"|"No"|"0"|"-147,66"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"390"|"No"|"-2"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"587852"|"08-955"|"31-01-23"|"Sale"|"592525"|"305310"|""|"LJ NO"|"-1"|"0"|"-1"|"0"|"No"|""|""|"No"|"Customer"|"No"|""|""|"NO"|""|"31-01-23"|""|""|""|"FÓLGES"|"0"|"Sales Shipment"|"20000"|""|""|"No"|""|""|"1"|"PK"|"No"|""|""|""|"No"|"SUPPLIES"|"No"|""|""|""|"Yes"|"31-01-23"|"No"|"0"|"-78,23"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"224,2"|"No"|"-1"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
"587995"|"1006-83"|"31-01-23"|"Sale"|"511100"|"305343"|""|"LJ NO"|"-41,02"|"0"|"-41,02"|"0"|"No"|""|""|"No"|"Customer"|"No"|""|""|"NO"|""|"31-01-23"|""|""|""|"FÓLGES"|"0"|"Sales Shipment"|"20000"|""|""|"No"|""|""|"1"|"M"|"No"|""|""|""|"No"|"WOOD L"|"No"|""|""|""|"Yes"|"31-01-23"|"No"|"0"|"-1.229,68"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"0"|"No"|"-41,02"|"0"|"0"|""|""|""|""|""|"None"|""|"No"|""|""
